OrderID,OrderDate,CustomerID,Product,Category,UnitPrice,Quantity,TotalPrice,City,PaymentMethod
1,21-01-2023,5657,Sandals,Footwear,36615,4,146460,Delhi,Credit Card
2,01-04-2023,7437,Shoes,Footwear,55889,2,111778,Mumbai,Net Banking
3,08-01-2023,2911,Sandals,Footwear,73438,1,73438,Mumbai,Net Banking
4,13-12-2023,5263,Shoes,Footwear,79967,4,319868,Delhi,UPI
5,15-12-2023,6874,Sandals,Footwear,10047,4,40188,Mumbai,Net Banking
6,25-08-2023,7461,Sandals,Footwear,63961,3,191883,Bangalore,Net Banking
7,13-11-2023,6529,Watch,Accessories,3003,4,12012,Mumbai,UPI
8,11-04-2023,5109,Sandals,Footwear,77133,3,231399,Bangalore,Debit Card
9,18-04-2023,1752,Sunglasses,Accessories,43556,4,174224,Bangalore,Debit Card
10,12-10-2023,1813,Sandals,Footwear,68986,5,344930,Delhi,Debit Card
11,10-09-2023,9917,Mixer,Home Appliances,73736,5,368680,Bangalore,Net Banking
12,18-01-2023,3116,Sunglasses,Accessories,75157,3,225471,Bangalore,UPI
13,19-07-2023,7810,Sunglasses,Accessories,70439,1,70439,Mumbai,Net Banking
14,12-01-2023,3055,Headphones,Electronics,61355,2,122710,Pune,Cash
15,22-01-2023,7886,Jeans,Clothing,73253,5,366265,Bangalore,Cash
16,13-07-2023,6661,Sunglasses,Accessories,76531,4,306124,Hyderabad,Net Banking
17,06-08-2023,4424,T-Shirt,Clothing,47023,3,141069,Bangalore,Cash
18,01-04-2023,5550,Coffee Maker,Home Appliances,43155,4,172620,Hyderabad,UPI
19,13-11-2023,9109,Sunglasses,Accessories,46163,4,184652,Pune,Credit Card
20,11-06-2023,8863,Sandals,Footwear,73254,4,293016,Chennai,Net Banking
21,10-05-2023,2028,Sunglasses,Accessories,60408,3,181224,Mumbai,UPI
22,09-09-2023,4504,Watch,Accessories,6461,4,25844,Mumbai,Cash
23,15-07-2023,1049,T-Shirt,Clothing,22165,3,66495,Pune,Cash
24,26-03-2023,1200,Sunglasses,Accessories,35610,2,71220,Delhi,Net Banking
25,11-11-2023,5954,T-Shirt,Clothing,21178,3,63534,Delhi,Debit Card
26,02-06-2023,4558,Coffee Maker,Home Appliances,71733,4,286932,Mumbai,Debit Card
27,21-10-2023,4139,Headphones,Electronics,67890,1,67890,Bangalore,Net Banking
28,26-12-2023,8776,Watch,Accessories,29003,4,116012,Pune,Cash
29,15-02-2023,6806,Laptop,Electronics,14038,5,70190,Bangalore,Cash
30,16-10-2023,9737,Shoes,Footwear,76491,3,229473,Hyderabad,Net Banking
31,28-11-2023,1355,Watch,Accessories,63666,5,318330,Pune,Cash
32,20-07-2023,2773,Mixer,Home Appliances,65066,1,65066,Mumbai,Net Banking
33,20-02-2023,3883,Jeans,Clothing,45247,3,135741,Chennai,UPI
34,24-07-2023,5695,Sunglasses,Accessories,15410,5,77050,Chennai,Debit Card
35,16-08-2023,9090,Coffee Maker,Home Appliances,25788,1,25788,Hyderabad,Debit Card
36,18-03-2023,1850,Mixer,Home Appliances,78169,4,312676,Bangalore,Cash
37,28-05-2023,1673,Sunglasses,Accessories,17938,3,53814,Delhi,Cash
38,02-08-2023,7211,Jeans,Clothing,6393,4,25572,Bangalore,Credit Card
39,23-04-2023,8756,Sunglasses,Accessories,33218,3,99654,Delhi,Net Banking
40,07-01-2023,4485,Headphones,Electronics,38011,4,152044,Chennai,UPI
41,07-03-2023,1516,Mixer,Home Appliances,52438,1,52438,Delhi,Debit Card
42,02-12-2023,3819,Jeans,Clothing,20635,4,82540,Hyderabad,UPI
43,29-03-2023,9888,Mixer,Home Appliances,15448,2,30896,Mumbai,Cash
44,31-08-2023,2626,Headphones,Electronics,49894,4,199576,Bangalore,Cash
45,05-11-2023,1937,Headphones,Electronics,61749,1,61749,Bangalore,Cash
46,16-11-2023,9737,Coffee Maker,Home Appliances,71655,1,71655,Delhi,Cash
47,26-09-2023,1376,Coffee Maker,Home Appliances,26625,4,106500,Pune,Debit Card
48,22-09-2023,6430,Shoes,Footwear,69647,2,139294,Delhi,Cash
49,07-12-2023,3399,T-Shirt,Clothing,39000,1,39000,Chennai,Net Banking
50,30-10-2023,5204,Watch,Accessories,8068,4,32272,Pune,UPI
51,03-07-2023,5294,Mixer,Home Appliances,14495,1,14495,Hyderabad,Cash
52,02-01-2023,7517,Sunglasses,Accessories,25864,1,25864,Delhi,Credit Card
53,26-10-2023,2772,Watch,Accessories,8133,2,16266,Chennai,Cash
54,09-06-2023,7384,Mixer,Home Appliances,34771,3,104313,Pune,UPI
55,31-12-2023,3957,Sunglasses,Accessories,61496,2,122992,Mumbai,Net Banking
56,21-02-2023,7900,Watch,Accessories,42679,2,85358,Delhi,UPI
57,23-09-2023,6658,Shoes,Footwear,51475,3,154425,Delhi,UPI
58,01-10-2023,7324,Jeans,Clothing,24635,4,98540,Delhi,Credit Card
59,11-04-2023,3161,Sunglasses,Accessories,5962,5,29810,Hyderabad,UPI
60,10-12-2023,4157,Shoes,Footwear,4164,1,4164,Delhi,Net Banking
61,14-01-2023,6646,Laptop,Electronics,5007,5,25035,Delhi,Debit Card
62,27-04-2023,9660,Coffee Maker,Home Appliances,21860,3,65580,Delhi,Cash
63,11-03-2023,3087,Laptop,Electronics,22289,2,44578,Bangalore,Cash
64,06-07-2023,3629,Headphones,Electronics,74466,2,148932,Hyderabad,UPI
65,06-02-2023,6858,T-Shirt,Clothing,1757,5,8785,Chennai,Debit Card
66,03-02-2023,9629,Laptop,Electronics,19289,5,96445,Chennai,Credit Card
67,09-03-2023,1171,Sandals,Footwear,69080,3,207240,Pune,UPI
68,24-03-2023,6885,Sandals,Footwear,15547,4,62188,Pune,Net Banking
69,11-01-2023,7643,Laptop,Electronics,64925,1,64925,Mumbai,Credit Card
